Year (C7.3),Activity,Scope 1 emissions (metric tons CO2e),"Scope 2, location-based (metric tons CO2e)","Scope 2, market-based (metric tons CO2e)",
2021,Datacenter,53825,3799252,216032,
2021,Ground transportation,37774,1089,0,
2021,Office,18671,302104,12162,
2021,Travel,7830,NA,NA,
2020,Datacenter,34851,3189621,260752,
2020,Ground transportation,45849,0,0,
2020,Manufacturing,237,10086,0,
2020,Office,23583,356846,14623,
2020,Travel,8892,0,0,
2019,Datacenter,13431,2637119,169590,
2019,Ground transportation,41541,NA,NA,
2019,Manufacturing,1322,11918,0,
2019,Office,25446,351486,13739,
2019,Travel,8983,NA,NA,
2018,Datacenter,18202,2252172,116772,
2018,Ground transportation,41774,NA,NA,
2018,Manufacturing,2324,55500,1204,
2018,Office,27913,385037,21134,
2018,Travel,7426,NA,NA,
2017,Datacenter,11407,NA,18877,
2017,Manufacturing,3524,NA,230,
2017,Office,22784,NA,24825,
2016,Datacenter,8035,NA,47562,
2016,Manufacturing,2504,NA,25988,
2016,Office,23543,NA,69308,
2015,Datacenter,NA,NA,NA,
2015,Office,23382,434965,NA,
2014,NA,NA,NA,NA,
2013,NA,NA,NA,NA,
2012,Datacenter,8745,637442,NA,
2011,NA,NA,NA,NA,
2010,NA,NA,NA,NA,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,