Year (C8.2),Consumption Type (purchased or aquired),MWh from renewable sources,MWh from non-renewable sources,Total (renewable and non-renewable) MWh,,
2021,Fuel,0,449304,449304,,
2021,Electricty,9859847,384212,10244059,,
2021,Heat,0,0,0,,
2021,Steam,0,12458,12458,,
2021,Cooling,0,51026,51026,,
2021,Self-generated non-fuel renewable energy,318,0,318,,
2021,Fuel,0,421245,421245,,
2020,Electricty,8291028,450192,8741220,,
2020,Heat,0,0,0,,
2020,Steam,0,12002,12002,,
2020,Cooling,0,52937,52937,,
2020,Self-generated non-fuel renewable energy,587,0,587,,
2019,Fuel,0,326059,326059,,
2019,Electricty,7274903,288968,7563871,,
2019,Heat,NA,NA,NA,,
2019,Steam,"	
0",12213,12213,,
2019,Cooling,0,52775,52775,,
2019,Self-generated non-fuel renewable energy,400,NA,400,,
2018,Fuel,0,324795,324795,,
2018,Electricty,6104341,239721,6344061,,
2018,Heat,NA,NA,NA,,
2018,Steam,0,19549,19549,,
2018,Cooling,0,30121,30121,,
2018,Self-generated non-fuel renewable energy,418,NA,418,,
2017,Fuel,NA,NA,308826,,
2017,Electricty,NA,NA,4852643,,
2017,Heat,NA,NA,0,,
2017,Steam,NA,NA,17050,,
2017,Cooling,NA,NA,8659,,
2016,Fuel,NA,NA,334815,,
2016,Electricty,NA,NA,3836649,,
2016,Heat,NA,NA,0,,
2016,Steam,NA,NA,16399,,
2016,Cooling,NA,NA,6833,,
2015,Fuel,NA,NA,319313,,
2015,Electricty,NA,NA,3240620,,
2015,Heat,NA,NA,0,,
2015,Steam,NA,NA,1410,,
2015,Cooling,NA,NA,9095,,
2014,Fuel,NA,NA,NA,,
2014,Electricty,NA,NA,NA,,
2014,Heat,NA,NA,NA,,
2014,Steam,NA,NA,NA,,
2014,Cooling,NA,NA,NA,,
2013,Fuel,NA,NA,NA,,
2013,Electricty,NA,NA,NA,,
2013,Heat,NA,NA,NA,,
2013,Steam,NA,NA,NA,,
2013,Cooling,NA,NA,NA,,
2012,Fuel,NA,NA,154728,,
2012,Electricty,NA,NA,2497888,,
2012,Heat,NA,NA,0,,
2012,Steam,NA,NA,858,,
2012,Cooling,NA,NA,4334,,
2011,Fuel,NA,NA,181000,,
2011,Electricty,NA,NA,2427255,,
2011,Heat,NA,NA,0,,
2011,Steam,NA,NA,889,,
2011,Cooling,NA,NA,9559,,
2010,Fuel,NA,NA,NA,,
2010,Electricty,NA,NA,2284698,,
2010,Heat,NA,NA,NA,,
2010,Steam,NA,NA,NA,,
2010,Cooling,NA,NA,NA,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,